member_id_no,hospital,hosp_address,hosp_hours,hosp_tel_no,hosp_designation,hosp_days,hosp_remarks,hosp_primary
5565,UST HOSPITAL,,,,,,,0
4557,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,,,,,,,1
2273,SAINT LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART,,,,,,,1
4803,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,,,,,0
5110,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,0
2607,OUR LADY OF LOURDES HOSPITAL,,,,,,,1
1796,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,,,,,,,1
2377,FEU NRMF,,,,,,,1
0125,LOURDES HOSPITAL,,,,,,,1
0357,OSPITAL NG SAMPALOC,,,,,,,1
1278,TANCHULING GENERAL HOSPITAL,,,,,,,0
2822,UNITED DOCTORS MEDICAL CENTER,,,,,,,1
4076,UP-PGH MEDICAL CENTER,,,,,,,1
2522,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,,,,,,,1
2121,METROPOLITAN MEDICAL CENTER,,,,,,,0
0363,DR. JOSE FABELLA MEMORIAL HOSPITAL,,,,,,,1
0364,FORT DEL PILAR STATION HOSPITAL,,,,,,,1
3112,OSPITAL NG MAKATI,,,,,,,1
1278,ESTEVEZ MEMORIAL HOSPITAL,,,,,,,1
4748,CHONG HUA HOSPITAL,,,,,,,0
0368,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,,,,,,,1
0369,DE LOS SANTOS MEDICAL CENTER,,,,,,,1
3484,MANILA DOCTORS HOSPITAL,,,,,,,1
4590,PERPETUAL SUCCOR HOSPITAL-CEBU CITY,,,,,,,0
0372,BULACAN PROVINCIAL HOSPITAL,,,,,,,1
3286,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,,,,,,,1
0374,URDANETA SACRED HEART HOSPITAL,,,,,,,1
0828,GENERAL TRIAS MATERNITY AND PEDIATRIC HOSPITAL,,,,,,,0
0376,PASAY CITY GENERAL HOSPITAL,,,,,,,1
0377,VIRGEN MILAGROSA MEDICAL CENTER,,,,,,,1
0378,UNITED DOCTORS MEDICAL CENTER,,,,,,,1
0379,OCCIDENTAL MINDORO PROVINCIAL HOSPITAL,,,,,,,1
0380,UP-PGH MEDICAL CENTER,,,,,,,1
0381,SAN JUAN DE DIOS HOSPITAL,,,,,,,1
6268,OSPITAL NG MAYNILA MEDICAL CENTER,,,,,,,0
0407,UP-PGH MEDICAL CENTER,,,,,,,1
1196,TARLAC PROVINCIAL HOSPITAL,,,,,,,0
0385,EASTERN VISAYAS REGIONAL MEDICAL CENTER,,,,,,,1
1379,CARDINAL SANTOS MEDICAL CENTER,,,,,,,1
0141,QUEZON MEDICAL CENTER,,,,,,,1
0388,MINDANAO MEDICAL CENTER,,,,,,,1
2211,QUEZON CITY GENERAL HOSPITAL,,,,,,,1
0978,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
2273,PHILIPPINE HEART CENTER,,,,,,,0
0393,MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOP OF THE PHIL.,,,,,,,1
5267,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,0
0395,CEBU CITY MEDICAL CENTER,,,,,,,1
0396,UP-PGH MEDICAL CENTER,,,,,,,1
3096,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER,,,,,,,1
5697,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,0
2756,DAVAO DOCTORS HOSPITAL,,,,,,,1
2121,CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,,,,,,,1
0406,SAN JUAN DE DIOS HOSPITAL,,,,,,,1
2266,GREGORIO T. LLUCH MEMORIAL HOSPITAL,,,,,,,1
0586,FEU NRMF,,,,,,,1
0996,MCU-FDTMF HOSPITAL,,,,,,,1
2481,THE MEDICAL CITY,,,,,,,1
1687,C.P. REYES HOSPITAL,,,,,,,0
1379,MARY IMMACULATE MATERNITY HOSPITAL,,,,,,,0
0677,FEU NRMF,,,,,,,1
1543,ST. PAUL HOSPITAL,,,,,,,1
1553,UP-PGH MEDICAL CENTER,,,,,,,1
0996,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
0512,MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,,,,,,,1
0407,SAINT LUKE'S MEDICAL CENTER,,,,,,,0
1626,BERNARDINO GENERAL HOSPITAL,,,,,,,1
2473,CORAZON LOCSIN MONTELIBANO MEMORIAL REGIONAL HOSPITAL,,,,,,,1
4093,THE MEDICAL CITY,,,,,,,0
0425,FEU NRMF,,,,,,,1
1631,RIVERSIDE MEDICAL CENTER,,,,,,,1
1169,LAGUNA DOCTOR'S HOSPITAL,,,,,,,1
2874,DOH-CART,,,,,,,1
2937,DAVAO MEDICAL CENTER,,,,,,,1
2838,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
2559,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
5806,FATIMA UNIVERSITY MEDICAL CENTER,,,,,,,0
1360,PHILIPPINE CHILDREN MEDICAL CENTER,,,,,,,0
2732,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,,,,,,,1
1360,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,0
4045,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,0
3240,MCU-FDTMF HOSPITAL,,,,,,,1
0459,QUIJANO CLINIC & HOSPITAL,,,,,,,1
0824,THE MEDICAL CITY,,,,,,,1
4126,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,,,,,,,0
5422,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,0
4104,UERM MEMORIAL MEDICAL CENTER,,,,,,,1
1889,EAST AVENUE MEDICAL CENTER,,,,,,,1
0671,UP-PGH MEDICAL CENTER,,,,,,,1
0742,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
4112,UP-PGH MEDICAL CENTER,,,,,,,0
1633,DR. MONTANO G. RAMOS GENERAL HOSPITAL,,,,,,,1
4267,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,0
1443,MANILA DOCTORS HOSPITAL,,,,,,,1
4256,FEU NRMF,,,,,,,1
4088,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
4261,MANILA ADVENTIST MEDICAL CENTER,,,,,,,0
1811,EVANGELISTA MEDICAL SPECIALTY HOSPITAL,,,,,,,1
2316,RIZAL MEDICAL CENTER,,,,,,,1
0404,NUEVA ECIJA GOOD SAMARITAN GENERAL HOSPITAL,,,,,,,1
2503,LAS PIÑAS CITY MEDICAL CENTER,,,,,,,1
0915,PERPETUAL HELP MEDICAL CENTER,,,,,,,1
0992,MEDICAL CENTER MANILA,,,,,,,1
4620,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,0
5643,EAST AVENUE MEDICAL CENTER,,,,,,,0
0658,CARAGA REGIONAL HOSPITAL,,,,,,,1
0672,STA. TERESITA GENERAL HOSPITAL,,,,,,,0
6586,COTABATO REGIONAL AND MEDICAL CENTER,,,,,,,0
1902,WESTERN MINDANAO MEDICAL CENTER,,,,,,,1
4797,SOUTHERN PHILIPPINES MEDICAL CENTER,,,,,,,0
2725,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,1
0321,WESTERN MINDANAO MEDICAL CENTER,,,,,,,1
2551,PERPETUAL SUCCOUR HOSPITAL,,,,,,,1
2342,"GOV. FAUSTINO N. DY, SR. MEMORIAL HOSPITAL",,,,,,,1
0957,ASIAN HOSPITAL AND MEDICAL CENTER,,,,,,,1
0184,BUTUAN CITY MEDICAL CENTER,,,,,,,1
2560,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
3138,AFP MEDICAL CENTER,,,,,,,1
3632,FEU NRMF,,,,,,,1
4551,PERPETUAL SUCCOR HOSPITAL-CEBU CITY,,,,,,,0
3219,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
5568,BATANGAS MEDICAL CENTER,"KUMINTANG IBABA, BATANGAS CITY",,,,,,0
0375,"PANGASINAN CENTER FOR FAMILY MEDICINE, INC.",,,,,,,1
2786,QUEZON MEDICAL CENTER,,,,,,,1
0674,SAN ROQUE HOSPITAL,,,,,,,1
0970,CAGAYAN VALLEY REGIONAL HOSPITAL,,,,,,,1
0375,LUZON MEDICAL CENTER,,,,,,,0
4068,TONDO MEDICAL CENTER,,,,,,,1
4190,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER,,,,,,,0
3708,SOCCSKSARGEN GENERAL HOPSPITAL,,,,,,,0
4007,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
4744,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,0
5114,REGION 1 MEDICAL CENTER,,,,,,,0
5508,UST HOSPITAL,,,,,,,0
2638,MAKATI MEDICAL CENTER,,,,,,,1
2059,ST. PAULS HOSPITAL - ILOILO CITY,,,,,,,1
0949,OSPITAL NG SAMPALOC,,,,,,,1
1479,VICENTE SOTTO MEMORIAL MEDICAL CENTER,,,,,,,1
1992,JAMES L. GORDON MEMORIAL HOSPITAL,,,,,,,1
1476,COMMUNITY GENERAL HOSPITAL,,,,,,,1
2520,RIZAL MEDICAL CENTER,,,,,,,1
1136,SAN JUAN DE DIOS HOSPITAL,,,,,,,1
5262,V. LUNA MEDICAL CENTER,,,,,,,0
4387,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,0
3489,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,1
5328,NORTHERN MINDANAO MEDICAL CENTER,,,,,,,0
2950,BULACAN MEDICAL CENTER,,,,,,,1
0102,UERM MEMORIAL MEDICAL CENTER,,,,,,,1
3982,UP-PGH MEDICAL CENTER,,,,,,,1
0957,MUNTINLUPA DOCTORS CLINIC,,,,,,,0
2270,AFP MEDICAL CENTER,,,,,,,1
2285,EAST AVENUE MEDICAL CENTER,,,,,,,1
2576,D.O PLAZA MEMORIAL HOSPITAL,,,,,,,1
3869,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,,,,,,,0
2664,ST. LUKES MEDICAL CENTER,,,,,,,1
3371,RIZAL MEDICAL CENTER,,,,,,,1
4335,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,,,981-0400 LOC 2136,,,,1
0949,ST. JUDE HOSPITAL AND MEDICAL CENTER,,,,,,,0
3846,ZAMBOANGA CITY MEDICAL CENTER,,,,,,,1
3650,VETERANS MEMORIAL MEDICAL CENTER,,,,,,,1
0447,DIVINE WORD HOSPITAL,,,,,,,1
0148,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER,,,,,,,0
0949,ELIO-TORDESILLAS GENERAL HOSPITAL,,,,,,,0
4068,MEDICAL CENTER MANILA,,,,,,,0
2917,UP-PGH MEDICAL CENTER,,,,,,,1
2659,BLACK NAZARENE HOSPITAL,,,,,,,1
1261,JOSE B. LINGAD MEMORIAL RESEARCH HOSPITAL,,,,,,,1
5966,REGION 2 TRAUMA AND MEDICAL CENTER,,,,,,,0
2932,UST HOSPITAL,,,,,,,1
5509,UST HOSPITAL,,,,,,,0
1653,EAST AVENUE MEDICAL CENTER,,,,,,,1
2582,GOD'S WILL MEDICAL HOSPITAL,,,,,,,1
0200,"JESUS GARCIA GENERAL HOSPITAL ",,,,,,,0
1372,ADELA SERRA TY MEMORIAL MEDICAL CENTER,,,,,,,1
2582,CAGAYAN VALLEY MEDICAL  CENTER,,,,,,,0
3288,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,,,,,,,1
5429,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,,,,,,,0
0813,UP-PGH MEDICAL CENTER,,,,,,,1
2388,JOSE R. REYES MEMORIAL MEDICAL CENTER,,,,,,,1
3981,UP-PGH MEDICAL CENTER,,,,,,,1
0223,THE MANILA EAST MEDICAL CENTER,,,,,,,0
1513,UERM MEMORIAL MEDICAL CENTER,,,,,,,1
4422,PERPETUAL SUCCOR HOSPITAL-CEBU CITY,,,,,,,0
3627,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
3465,QUIRINO MEMORIAL MEDICAL CENTER,,,,,,,1
5078,QUEZON CITY GENERAL HOSPITAL,,,,,,,0
5228,DAVAO DOCTORS HOSPITAL,,,,,,,0
3627,SAINT LUKE'S MEDICAL CENTER,,,,,,,1
0464,ANGELES MEDICAL CENTER,,,,,,,0
2676,ST. ELIZABETH HOSPITAL INC.,,,,,,,1
0464,SACRED HEART MEDICAL CENTER,,,,,,,0
1885,NUEVA ECIJA DOCTORS HOSPITAL,,,,,,,1
1900,PABLO O. TORRE MEMORIAL HOSPITAL,,,,,,,1
0263,SPECIALISTS GROUP HOSPITAL AND TRAUMA CENTER,,,,,,,0
1996,BATAAN DOCTORS HOSPITAL,,,,,,,0
1229,ZIGA MEMORIAL DISTRICT HOSPITAL,,,,,,,1
